state,electoral_vote,landon,landon_1932_rep,landon_1932_dem,landon_1932_soc,landon_1932_others,landon_1932_did_not_vote,landon_1932_vote_not_indicated,roosevelt,roosevelt_1932_rep,roosevelt_1932_dem,roosevelt_1932_soc,roosevelt_1932_others,roosevelt_1932_did_not_vote,roosevelt_1932_vote_not_indicated,lemke,lemke_1932_rep,lemke_1932_dem,lemke_1932_soc,lemke_1932_others,lemke_1932_did_not_vote,lemke_1932_vote_not_indicated,thomas,browder,colvin,aiken,others_minor,minor_total,grand_total,electoral_votes_total,roosevelt_votes,roosevelt_pct,roosevelt_electoral_votes,landon_votes,landon_pct,landon_electoral_votes,lemke_votes,lemke_pct,lemke_electoral_votes,thomas_votes,thomas_pct,thomas_electoral_votes,other_votes,other_pct,other_electoral_votes,margin,margin_pct,total_votes,state_abbr,landon_share_total,roosevelt_share_total,landon_share_two_party,roosevelt_share_two_party,actual_landon_share,actual_roosevelt_share,landon_error,roosevelt_error,absolute_landon_error
Ohio,26,77896,58232,13391,420,66,2747,3040,50778,9465,35864,1315,38,2454,1642,8156,1580,5389,249,14,375,549,590,325,247,65,24,1251,138081,26,1747140,57.99,26,1127855,37.44,0,132212,4.39,0,117,0,0,5265,0.17,0,619285,20.56,3012589,OH,0.5641326467797887,0.3677406739522454,0.6053748231966054,0.3946251768033946,0.3922980735618671,0.6077019264381329,0.21307674963473833,-0.21307674963473833,0.21307674963473833
Oklahoma,11,14442,8393,4260,29,3,1050,707,15075,1289,12389,53,2,687,655,217,36,143,10,0,9,19,134,24,65,11,3,237,29971,11,501069,66.83,11,245122,32.69,0,-,-,0,2221,0.3,0,1328,0.18,0,255947,34.14,749740,OK,0.4818658036101564,0.5029862200126789,0.4892773655859335,0.5107226344140665,0.3284976634668604,0.6715023365331396,0.1607797021190731,-0.1607797021190731,0.1607797021190731
Oregon,5,11747,8593,2014,72,6,521,541,10951,1966,7666,298,7,567,447,655,196,313,46,7,30,63,164,48,74,13,12,311,23664,5,266733,64.42,5,122706,29.64,0,21831,5.27,0,2143,0.52,0,608,0.15,0,144027,34.79,414021,OR,0.4964080459770115,0.4627704530087897,0.5175345845448939,0.4824654154551062,0.3150840054539992,0.6849159945460008,0.20245057909089464,-0.20245057909089464,0.20245057909089464
Pennsylvania,36,119086,86433,20097,543,115,6461,5437,81114,14502,56082,1340,55,5733,3402,7507,1121,5089,187,11,467,632,1051,608,367,63,32,2121,209828,36,2353987,56.88,36,1690200,40.84,0,67468,1.63,0,14599,0.35,0,12172,0.29,0,663787,16.04,4138426,PA,0.5675410336084793,0.3865737651790991,0.5948351648351649,0.4051648351648351,0.41793319646198357,0.5820668035380164,0.17690196837318128,-0.17690196837318134,0.17690196837318128
Rhode Island,4,10401,8165,1269,32,5,511,419,3489,600,2470,90,0,208,121,794,148,545,12,3,31,55,68,43,15,7,1,134,14818,4,165238,53.1,4,125031,40.18,0,19569,6.29,0,-,-,0,1340,0.43,0,40207,12.92,311178,RI,0.7019165879335942,0.2354568767714941,0.7488120950323974,0.2511879049676025,0.4307418291309096,0.5692581708690904,0.31807026590148785,-0.31807026590148785,0.31807026590148785
South Carolina,8,1247,216,658,2,0,300,71,7105,101,5943,6,6,701,348,20,2,11,1,0,2,4,12,13,22,0,7,54,8426,8,113791,98.57,8,1646,1.43,0,-,-,0,-,-,0,-,-,0,112145,97.15,115437,SC,0.1479943033467837,0.8432233562781866,0.1493055555555555,0.8506944444444444,0.014258859810979149,0.9857411401890208,0.13504669574457634,-0.1350466957445764,0.13504669574457634
South Dakota,4,8483,5712,2096,42,14,248,371,4507,859,3314,46,5,125,158,770,122,539,20,10,20,59,43,26,24,2,3,98,13858,4,160137,54.02,4,125977,42.49,0,10338,3.49,0,-,-,0,-,-,0,34160,11.52,296472,SD,0.6121373935632848,0.3252273055274931,0.6530408006158583,0.3469591993841416,0.4403035153819806,0.5596964846180194,0.21273728523387775,-0.21273728523387775,0.21273728523387775
Tennessee,11,9883,5785,2354,29,31,1178,506,19829,1419,15510,128,33,1938,801,100,14,63,2,0,12,9,81,19,64,2,0,166,29978,11,328083,68.85,11,146520,30.75,0,296,0.06,0,686,0.14,0,953,0.2,0,181563,38.1,476538,TN,0.3296750950697178,0.6614517312695977,0.332626548196015,0.6673734518039849,0.308721183810469,0.691278816189531,0.023905364385546024,-0.023905364385546135,0.023905364385546024
Texas,23,15341,6302,6774,43,3,1559,660,37501,1860,31262,149,5,2668,1557,558,58,417,13,1,28,41,187,49,87,9,14,346,53746,23,734485,87.08,23,103874,12.31,0,3281,0.39,0,1075,0.13,0,767,0.09,0,630611,74.76,843482,TX,0.2854351951773155,0.6977449484612809,0.2903183074069869,0.7096816925930132,0.12390157438519775,0.8760984256148022,0.16641673302178914,-0.16641673302178905,0.16641673302178914
Utah,4,4067,2906,851,21,1,155,133,5318,954,3935,69,8,189,163,119,30,65,8,0,5,11,43,14,12,0,5,74,9578,4,150246,69.34,4,64555,29.79,0,1121,0.52,0,432,0.2,0,323,0.15,0,85691,39.55,216677,UT,0.4246189183545625,0.5552307371058676,0.4333510921683537,0.5666489078316462,0.30053398261646824,0.6994660173835318,0.13281710955188547,-0.13281710955188553,0.13281710955188547
Vermont,3,7241,5829,822,20,2,239,329,2458,498,1756,37,0,84,83,174,48,90,2,0,18,16,41,6,13,1,2,63,9936,3,62124,43.24,0,81023,56.39,3,-,-,0,-,-,0,542,0.38,0,-18899,-13.15,143689,VT,0.7287640901771336,0.2473832528180354,0.7465718115269615,0.2534281884730384,0.5660125605147156,0.43398743948528434,0.1805592510122459,-0.18055925101224596,0.1805592510122459
Virginia,11,10223,5696,2848,57,18,1194,410,16783,1121,13346,141,14,1517,644,74,17,37,4,0,8,8,88,33,60,3,4,188,27268,11,234980,70.23,11,98336,29.39,0,233,0.07,0,313,0.09,0,728,0.22,0,136644,40.84,334590,VA,0.3749083174416899,0.6154833504474109,0.3785455084055395,0.6214544915944605,0.29502334121374313,0.7049766587862569,0.08352216719179639,-0.08352216719179639,0.08352216719179639
Washington,8,21370,14841,4800,67,30,806,826,15300,2281,11423,278,53,709,556,683,170,374,28,27,31,53,190,136,91,23,14,454,37807,8,459579,66.38,8,206892,29.88,0,17463,2.52,0,3496,0.5,0,4908,0.71,0,252687,36.5,692338,WA,0.5652392414103209,0.4046869627317692,0.5827652031633488,0.4172347968366512,0.31042911094406206,0.6895708890559379,0.27233609221928673,-0.2723360922192867,0.27233609221928673
West Virginia,8,13660,10060,2589,30,15,424,542,10235,1278,8229,52,11,305,360,199,51,119,4,1,11,13,63,7,41,1,4,116,24210,8,502582,60.56,8,325358,39.2,0,-,-,0,832,0.1,0,1173,0.14,0,177224,21.35,829945,WV,0.5642296571664601,0.4227591904171829,0.5716677129106508,0.4283322870893492,0.392972920743049,0.607027079256951,0.17869479216760176,-0.1786947921676018,0.17869479216760176
Wisconsin,12,33796,22587,8495,157,12,1142,1403,20781,3144,15578,582,4,799,674,3642,412,2717,118,0,110,285,686,160,97,10,6,959,59178,12,802984,63.8,12,380828,30.26,0,60297,4.79,0,10626,0.84,0,3825,0.3,0,422156,33.54,1258560,WI,0.5710906079962148,0.3511609043901449,0.6192352089708119,0.3807647910291881,0.3216963504340216,0.6783036495659783,0.29753885853679024,-0.29753885853679024,0.29753885853679024
Wyoming,3,2526,1830,510,15,1,83,87,1533,242,1144,27,1,63,56,78,22,46,1,1,4,4,11,2,2,0,0,15,4152,3,62624,60.58,3,38739,37.47,0,1653,1.6,0,200,0.19,0,166,0.16,0,23885,23.1,103382,WY,0.6083815028901735,0.3692196531791907,0.6223207686622321,0.3776792313377679,0.382180874678137,0.617819125321863,0.24013989398409508,-0.24013989398409513,0.24013989398409508
